Qu1,Qu2,Qu3,Qd1,Qd2,Qd3,Qe1,Qe2,Qe3,Qq1,Qq2,Qq3,Ql1,Ql2,Ql3,Qv1,Qv2,Qv3,QHu,QHd,Qs,QDx,QDxbar
0.333333333,0.333333333,0.333333333,0.444444444,0.444444444,0.444444444,-0.111111111,-0.333333333,0.111111111,0.111111111,0.111111111,0.111111111,-0.333333333,-0.111111111,0.444444444,0.777777778,0.555555556,0,-0.444444444,-0.555555556,1,-0.444444444,-0.555555556
-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.75,0.75,0,0,0,0,-0.25,-0.25,-0.5,-0.25,-0.25,0,0.5,0.5,-1,0.5,0.5
-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1,0.5,0,0,0,0,-0.5,0,-0.5,0,-0.5,0,0.5,0.5,-1,0.5,0.5
-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,0.125,1,0,0,0,0,0.25,-0.625,-0.375,-0.625,0.25,0,0.375,0.375,-0.75,0.375,0.375
-0.25,-0.25,-0.25,0,0,0,0.25,1,-0.5,0,0,0,0,-0.75,0.5,-0.25,0.5,-0.75,0.25,0,-0.25,0.25,0
-0.333333333,-0.333333333,-0.333333333,-0.222222222,-0.222222222,-0.222222222,1,0.555555556,0.111111111,0.111111111,0.111111111,0.111111111,-0.777777778,-0.333333333,-0.222222222,0.555555556,0.111111111,0,0.222222222,0.111111111,-0.333333333,0.222222222,0.111111111
-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,1,0.2,0,0,0,0,-0.6,0.2,-0.4,0.2,-0.6,0,0.4,0.4,-0.8,0.4,0.4
0,0,0,0.2,0.2,0.2,-0.1,0.8,-0.1,0.1,0.1,0.1,0,-0.9,0.4,0.1,1,-0.3,-0.1,-0.3,0.4,-0.1,-0.3
0.5,0.5,0.5,0.5,0.5,0.5,-0.666666667,-0.833333333,0,0,0,0,0.166666667,0.333333333,0.5,0.333333333,0.166666667,0,-0.5,-0.5,1,-0.5,-0.5
0,0,0,0.2,0.2,0.2,-0.1,0.8,-0.1,0.1,0.1,0.1,0,-0.9,0.4,0.1,1,-0.3,-0.1,-0.3,0.4,-0.1,-0.3
-0.2,-0.2,-0.2,0,0,0,0,1,-0.4,0,0,0,0.2,-0.8,0.4,-0.4,0.6,-0.6,0.2,0,-0.2,0.2,0
